"RelativePath","SizeBytes","LastWriteTime","SHA256"
"阶段二/服务器文件快照/系统/etc/systemd/system/knowtrace-backup.service","724","2026-09-09T14:59:15.3434530+08:00","E07C27B9FFEB226C5539855024495DF0E3D544BDEC0A4C40336B21F9A3AF433A"
"阶段二/服务器文件快照/系统/etc/systemd/system/knowtrace-backup.timer","224","2026-09-09T14:59:16.5873669+08:00","550104BC74104D35AB66765852AB2DC85B44710F389E6359A7071A56577F919C"
"阶段二/服务器文件快照/项目/opt/knowtrace/deploy/systemd/knowtrace-backup.service","724","2026-09-09T14:59:13.7321435+08:00","E07C27B9FFEB226C5539855024495DF0E3D544BDEC0A4C40336B21F9A3AF433A"
"阶段二/服务器文件快照/项目/opt/knowtrace/deploy/systemd/knowtrace-backup.timer","224","2026-09-09T14:59:13.9679741+08:00","550104BC74104D35AB66765852AB2DC85B44710F389E6359A7071A56577F919C"
"阶段二/服务器文件快照/项目/opt/knowtrace/docs/15-stage2-vps-reliability.md","10369","2026-09-09T14:59:11.7813909+08:00","095B8F21DB1F770DB2C718058DBA80955B708F47104A113F3830BF481C0F2E4F"
"阶段二/服务器文件快照/项目/opt/knowtrace/scripts/linux/backup-all.sh","10835","2026-09-09T14:59:02.3090038+08:00","9A3EE77449055638E6A3F0BB41A4E0CDBC5282FB88F0DB199BDBBE074E66402A"
"阶段二/服务器文件快照/项目/opt/knowtrace/scripts/linux/load-baseline.py","7855","2026-09-09T14:59:09.2503481+08:00","7FE6FCDF5D57A69F5463A291C490B706CEAA90334C0A29B46FD04D2222B90F93"
"阶段二/服务器文件快照/项目/opt/knowtrace/scripts/linux/prune-backups.sh","2177","2026-09-09T14:59:05.4766143+08:00","8717CB44DD008BC0C02602649E4BC5E711E06D89FCC394146DF591946D2FA8F5"
"阶段二/服务器文件快照/项目/opt/knowtrace/scripts/linux/verify-restore.sh","10056","2026-09-09T14:59:07.0936379+08:00","50D6460F4D33823A6993C12F50A2182FEC3CE380CC3C194B0F0EC73D157CA8CA"
"阶段二/故障记录/INC-模板.md","677","2026-09-07T22:13:00.7959383+08:00","BF9BF6C6C97CBD31AB64D2FB38553CEA929CBB5D7F158B5ACA163C5EF8F05602"
"阶段二/故障记录/INC-S2-001-SSH管理入口拒绝连接.md","4376","2026-09-08T09:56:49.1896235+08:00","BFF718AD13A69EDDA676F88AEBD7BE5A20E871EF2AD0E44775BD1442DC749389"
"阶段二/故障记录/INC-S2-002-setupfirst无效单元残留.md","1937","2026-09-08T10:01:30.6404208+08:00","2182DD84E705DB09CA828E2DD9637C2107DE16B185E82C0C630435D6F1AEAD51"
"阶段二/故障记录/INC-S2-003-repass密码重置辅助单元失败.md","1714","2026-09-08T10:01:30.6424158+08:00","6801C809BB510C70618B7546105CC7AE10E4F652E8868CF124D2C4CB67EEBF7B"
"阶段二/文档/01-阶段二执行清单.md","1513","2026-09-08T10:03:07.2364835+08:00","4004FEBAE81632210B62336C47438C504B1C7AB26BF16095B6DDE5BC40501431"
"阶段二/文档/07-备份巡检与故障处理SOP.md","13508","2026-09-07T22:13:00.7834488+08:00","8E85234B8D875FA0EC27C6AEA85353FD1C824037BA002984D58E4A16B12BDF01"
"阶段二/文档/2026-09-07-本地备份恢复与Bug演练.md","1380","2026-09-07T22:55:14.8202914+08:00","C88D86A3AD3102AF35EF7557A127F97A3D8C9E120A5E1484933F206DEF2A0DD1"
"阶段二/文档/2026-09-07-本地脚本验证.md","763","2026-09-07T22:55:14.8192876+08:00","A39FEF0DE4B0D40975AC77C81764174C03093F7FBFC85DE819990B9CDBFC9408"
"阶段二/文档/2026-09-07-SSH与HTTPS复测.md","1090","2026-09-07T23:08:54.2713150+08:00","E4EFEE4018E9F78C45D5704673370E3EE660985A5D985DF99E8A94E4BBB6C66D"
"阶段二/文档/2026-09-08-阶段二远端执行结果.md","2062","2026-09-08T10:03:07.2374898+08:00","7CEB773D4AF003548D48C679EBA3351743F09BC659336EBF6805CD23716B3BFD"
"阶段二/文档/BUG-模板.md","490","2026-09-07T22:28:45.8515777+08:00","B0C6A2BF3706B867096A01837521C96A4CA1C9554408A22980EF3A17B799B258"
"阶段二/文档/INC-S2-001-SSH管理入口拒绝连接.md","1429","2026-09-07T23:08:54.2703167+08:00","62276B3E9045A15358FC8DF36A78E27461E78B23E915C61DA2920945869265AF"
"阶段二/文档/README-D盘旧版阶段二交付.md","4810","2026-09-09T15:38:00.7672622+08:00","8A46D62EA23451DB297BB5E9650D665581B745CEFF62FC133AD3304B5486C475"
"阶段二/文档/README.md","1734","2026-09-08T10:03:07.2354933+08:00","1643999B3BCA74D92F0F3A0437246FCDC62549B961B23D65F21132AB4FCB8C66"
"阶段二/问题记录/ISSUE-S2-001-Windows-bash解析到不可用WSL.md","881","2026-09-08T10:01:30.6434248+08:00","87BBC1E00EC43CD9B07B7C5BCEE0E1C145E16528D2BCCFA883B5AA67BD886ED7"
"阶段二/问题记录/ISSUE-S2-002-保留测试夹具命名错误.md","1000","2026-09-08T10:01:30.6454175+08:00","2369D42EEF4E18F35CE6F94CC08B5CC5A26A969DABC0BB4178B801607E10B1D1"
"阶段二/问题记录/ISSUE-S2-003-终验采集误用认证端口8081.md","1022","2026-09-08T10:01:30.6464171+08:00","53A993E21203D1A7273AF6F5728FF1FCD2D557B7D264B75F11259B664C334179"
"阶段二/问题记录/ISSUE-S2-004-Windows直连HTTP响应被重置.md","1415","2026-09-08T09:53:32.4293086+08:00","F44C1BE55704919433D3434D98409FFBE75FE14F70CE3352D7055E41261F48E9"
"阶段二/异地备份/knowtrace-20260907T151359Z-74b93d1a.tar.gz.age.sha256","136","2026-09-07T23:21:29.3038542+08:00","4883F123D917A8823EEFD4C656638950FAD00BC3060EE01585B213049ECCF4E5"
"阶段二/异地备份/knowtrace-20260907T151359Z-74b93d1a.tar.gz.sha256","109","2026-09-07T23:21:31.2514291+08:00","B976B293E1A8503BD5563858FC1F36D2BE2DC24E366490C823F2D2E7311EAD9F"
"阶段二/异地备份/README.md","2118","2026-09-08T10:01:30.6484203+08:00","0F6242D884F437E1840EE17BDCA4A029AB8651241C7EF9E4E73555E0C44DB3AA"
"阶段二/证据/2026-09-07-本地备份恢复演练.md","2649","2026-09-07T22:53:18.5798556+08:00","92EB0540FFC49BBB28EA00CDF6E9B32B28878E3577F43D395852A4FF3FB65EE8"
"阶段二/证据/2026-09-07-本地脚本验证.md","1663","2026-09-07T22:55:14.8162930+08:00","7DC87E1DFEA5FFB0D9BCD197457D6C8D67F25F2F179B8DB7224755138C9318E8"
"阶段二/证据/2026-09-07-SSH与HTTPS复测.md","3486","2026-09-08T09:56:49.1916209+08:00","0668D14A59BBAF74E3BB42188AFB0A6C3CB11D83A634C63A3AFB60FDD0551321"
"阶段二/证据/2026-09-08-版本发布与受控重启.md","3156","2026-09-08T09:59:22.1491481+08:00","663EDE7982D332F00DA302BFFA71F9A99A78594D3BE9EA3E918861F9614ABBFF"
"阶段二/证据/2026-09-08-压测与资源证据.md","3213","2026-09-08T09:59:22.1481367+08:00","5D7056FB6F69D2105605824ADFE9C161FE90D5DA6D8A4D810251AB6A4F6D51D0"
"阶段二/证据/2026-09-08-VPS真实备份与恢复.md","4081","2026-09-08T09:59:22.1471328+08:00","3B78A1847C4653D005711EAB3ACCDC330FF25F6E38177BB106D2AAFFD37BE5DC"
"阶段二/证据/README.md","386","2026-09-09T15:19:28.5473653+08:00","69691C422EF2014C53A79A46F5413944B5D55D4862B0DC6C14E40E1B77803BBD"
"阶段二/Bug记录/BUG-模板.md","648","2026-09-07T22:13:00.7979355+08:00","36E7606DCD7719251CE7C4DB0622BB099912CBB2ABE6E71F7E17E5F8A62064A5"
"阶段二/Bug记录/BUG-S2-001-Redis-BGSAVE完成判定竞态.md","1245","2026-09-07T22:53:18.5808507+08:00","349A727DE190EC11F49F9B107F60121C0D6763B6FD6840378C24A27E6FADF5C0"
